"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.047521600E-2,-8.505401611E-1,-2.059013397E-1,9.865906715E0
2.247594500E-2,-9.223662019E-1,-2.537853718E-1,9.861118317E0
2.447724700E-2,-9.271546006E-1,-2.442085743E-1,9.813234329E0
2.647927800E-2,-8.792705536E-1,-2.106897533E-1,9.813234329E0
2.848214300E-2,-9.702502489E-1,-2.873041928E-1,9.827599525E0
3.048589300E-2,-9.750386477E-1,-2.777273953E-1,9.813234329E0
3.249058000E-2,-9.032126069E-1,-2.489969730E-1,9.750985146E0
3.449620500E-2,-9.415197968E-1,-2.825157940E-1,9.722254753E0
3.650271600E-2,-9.558850527E-1,-2.777273953E-1,9.770138741E0
3.851005900E-2,-9.606734514E-1,-3.208230138E-1,9.770138741E0
4.051849700E-2,-9.271546006E-1,-3.399766386E-1,9.722254753E0
4.252750700E-2,-9.127894044E-1,-3.447650373E-1,9.717466354E0
4.453693400E-2,-9.750386477E-1,-3.734954596E-1,9.731831551E0
4.654657000E-2,-9.558850527E-1,-3.830722570E-1,9.722254753E0
4.855625700E-2,-9.606734514E-1,-3.591302633E-1,9.731831551E0
5.056360100E-2,-9.989806414E-1,-4.405331016E-1,9.698312759E0
5.256912200E-2,-9.941922426E-1,-4.213795066E-1,9.698312759E0
5.457193400E-2,-9.846154451E-1,-4.501099288E-1,9.712677956E0
5.657495500E-2,-1.003769040E0,-4.644751251E-1,9.722254753E0
5.857823600E-2,-1.037287831E0,-4.357447028E-1,9.688735962E0
6.058188200E-2,-1.032499433E0,-4.692635238E-1,9.669582367E0
6.258594500E-2,-1.008557439E0,-4.548983276E-1,9.621698380E0
6.459047600E-2,-1.046864748E0,-4.548983276E-1,9.616909981E0
6.659547600E-2,-1.104325533E0,-4.740519226E-1,9.636063576E0
6.860094500E-2,-1.070806742E0,-4.357447028E-1,9.640851974E0
7.060688200E-2,-1.075595140E0,-4.213795066E-1,9.636063576E0
7.261328900E-2,-1.094748735E0,-4.548983276E-1,9.636063576E0
7.462011100E-2,-1.123479128E0,-4.261679053E-1,9.703101158E0
7.662724700E-2,-1.109113932E0,-4.261679053E-1,9.669582367E0
7.863464300E-2,-1.104325533E0,-4.070142806E-1,9.660005569E0
8.064219500E-2,-1.123479128E0,-3.974374831E-1,9.640851974E0
8.264979900E-2,-1.128267527E0,-3.974374831E-1,9.626486778E0
8.466282000E-2,-1.094748735E0,-3.734954596E-1,9.602544785E0
8.666334100E-2,-1.113902330E0,-3.447650373E-1,9.583391190E0
8.866401800E-2,-1.133055925E0,-3.782838583E-1,9.592967987E0
9.066505900E-2,-1.080383539E0,-3.399766386E-1,9.645640373E0
9.266662200E-2,-1.109113932E0,-3.639186621E-1,9.712677956E0
9.466886100E-2,-1.089960337E0,-3.447650373E-1,9.741408348E0
9.667188200E-2,-1.104325533E0,-3.208230138E-1,9.703101158E0
9.867573600E-2,-1.075595140E0,-3.399766386E-1,9.640851974E0
1.006804760E-1,-1.070806742E0,-3.160346150E-1,9.640851974E0
1.026861010E-1,-1.089960337E0,-3.447650373E-1,9.688735962E0
1.046925590E-1,-1.066018343E0,-3.303998411E-1,9.707889557E0
1.066997990E-1,-1.018134236E0,-3.160346150E-1,9.707889557E0
