"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.851005900E-2,-3.994738800E-4,4.127896391E-3,-3.062632866E-3
4.051849700E-2,6.657897611E-4,4.127896391E-3,-1.997369342E-3
4.252750700E-2,1.731053460E-3,4.127896391E-3,-3.062632866E-3
4.453693400E-2,-3.994738800E-4,4.127896391E-3,-1.997369342E-3
4.654657000E-2,-1.464737463E-3,5.193160381E-3,-9.321057005E-4
4.855625700E-2,6.657897611E-4,4.127896391E-3,-9.321057005E-4
5.056360100E-2,1.731053460E-3,4.127896391E-3,-1.997369342E-3
5.256912200E-2,6.657897611E-4,4.127896391E-3,-1.997369342E-3
5.457193400E-2,-1.464737463E-3,5.193160381E-3,-9.321057005E-4
5.657495500E-2,-2.530001104E-3,4.127896391E-3,-9.321057005E-4
5.857823600E-2,-3.994738800E-4,3.062632866E-3,-9.321057005E-4
6.058188200E-2,6.657897611E-4,5.193160381E-3,-9.321057005E-4
6.258594500E-2,-3.994738800E-4,6.258423906E-3,1.331579551E-4
6.459047600E-2,-3.994738800E-4,4.127896391E-3,1.331579551E-4
6.659547600E-2,-3.994738800E-4,3.062632866E-3,1.331579551E-4
6.860094500E-2,6.657897611E-4,-1.198421582E-3,1.198421582E-3
7.060688200E-2,-3.994738800E-4,9.321057005E-4,1.331579551E-4
7.261328900E-2,6.657897611E-4,-1.331579551E-4,-9.321057005E-4
7.462011100E-2,-1.464737463E-3,-1.331579551E-4,-9.321057005E-4
7.662724700E-2,6.657897611E-4,9.321057005E-4,1.198421582E-3
7.863464300E-2,6.657897611E-4,9.321057005E-4,1.331579551E-4
8.064219500E-2,6.657897611E-4,9.321057005E-4,-9.321057005E-4
8.264979900E-2,1.731053460E-3,9.321057005E-4,1.331579551E-4
8.466282000E-2,6.657897611E-4,-1.331579551E-4,1.198421582E-3
8.666334100E-2,6.657897611E-4,-1.198421582E-3,1.198421582E-3
8.866401800E-2,1.731053460E-3,-2.263685223E-3,1.198421582E-3
9.066505900E-2,6.657897611E-4,-2.263685223E-3,1.331579551E-4
9.266662200E-2,6.657897611E-4,-4.394212738E-3,-9.321057005E-4
9.466886100E-2,2.796316985E-3,-4.394212738E-3,1.331579551E-4
9.667188200E-2,2.796316985E-3,-5.459476262E-3,1.198421582E-3
9.867573600E-2,3.861580743E-3,-2.263685223E-3,1.198421582E-3
1.006804760E-1,1.731053460E-3,-1.198421582E-3,1.198421582E-3
1.026861010E-1,6.657897611E-4,-2.263685223E-3,1.331579551E-4
1.046925590E-1,6.657897611E-4,-5.459476262E-3,1.198421582E-3
1.066997990E-1,1.731053460E-3,-4.394212738E-3,3.328948980E-3
1.087077160E-1,1.731053460E-3,-3.328948980E-3,1.198421582E-3
1.107161530E-1,1.731053460E-3,-2.263685223E-3,1.198421582E-3
1.127250070E-1,1.731053460E-3,-5.459476262E-3,2.263685223E-3
1.147341220E-1,1.731053460E-3,-4.394212738E-3,1.331579551E-4
1.167433410E-1,3.861580743E-3,-7.590003312E-3,1.198421582E-3
1.187520390E-1,1.731053460E-3,-5.459476262E-3,1.198421582E-3
1.207575590E-1,6.657897611E-4,-3.328948980E-3,1.198421582E-3
1.227603720E-1,-3.994738800E-4,-3.328948980E-3,1.198421582E-3
1.247633930E-1,2.796316985E-3,-6.524739787E-3,1.198421582E-3
1.267667260E-1,2.796316985E-3,-9.720530361E-3,1.198421582E-3
1.287704240E-1,1.731053460E-3,-4.394212738E-3,1.331579551E-4
1.307745390E-1,1.731053460E-3,-3.328948980E-3,1.198421582E-3
1.327791220E-1,1.731053460E-3,-2.263685223E-3,1.198421582E-3
1.347841740E-1,-3.994738800E-4,-4.394212738E-3,1.331579551E-4
1.367896950E-1,2.796316985E-3,-7.590003312E-3,1.331579551E-4
1.387956840E-1,1.731053460E-3,-4.394212738E-3,1.331579551E-4
1.408020910E-1,1.731053460E-3,-3.328948980E-3,2.263685223E-3
1.428088610E-1,-3.994738800E-4,-2.263685223E-3,-9.321057005E-4
1.448159450E-1,1.731053460E-3,-3.328948980E-3,1.331579551E-4
1.468232890E-1,2.796316985E-3,-6.524739787E-3,1.331579551E-4
1.488307890E-1,1.731053460E-3,-6.524739787E-3,1.198421582E-3
1.508383410E-1,1.731053460E-3,-2.263685223E-3,1.198421582E-3
1.528513090E-1,-3.994738800E-4,-2.263685223E-3,-9.321057005E-4
1.548518300E-1,6.657897611E-4,-2.263685223E-3,1.198421582E-3
1.568525070E-1,6.657897611E-4,-5.459476262E-3,1.198421582E-3
1.588535490E-1,6.657897611E-4,-6.524739787E-3,1.331579551E-4
1.608551110E-1,3.861580743E-3,-3.328948980E-3,1.331579551E-4
1.628573510E-1,1.731053460E-3,-1.198421582E-3,-9.321057005E-4
1.648603720E-1,1.731053460E-3,-1.331579551E-4,1.331579551E-4
1.668642260E-1,1.731053460E-3,-1.198421582E-3,2.263685223E-3
1.688689660E-1,1.731053460E-3,-2.263685223E-3,1.331579551E-4
1.708745910E-1,1.731053460E-3,-2.263685223E-3,-9.321057005E-4
1.728810490E-1,2.796316985E-3,-1.331579551E-4,-9.321057005E-4
1.748882890E-1,-3.994738800E-4,-1.331579551E-4,-9.321057005E-4
1.768962050E-1,6.657897611E-4,-2.263685223E-3,-9.321057005E-4
1.789046430E-1,6.657897611E-4,-2.263685223E-3,-3.062632866E-3
1.809134970E-1,6.657897611E-4,-1.331579551E-4,-9.321057005E-4
1.829226110E-1,6.657897611E-4,9.321057005E-4,1.331579551E-4
1.849318300E-1,1.731053460E-3,9.321057005E-4,-9.321057005E-4
1.869404760E-1,6.657897611E-4,9.321057005E-4,1.331579551E-4
1.889460490E-1,-3.994738800E-4,-1.198421582E-3,1.331579551E-4
1.909515700E-1,1.731053460E-3,-2.263685223E-3,-1.997369342E-3
1.929543820E-1,1.731053460E-3,-1.331579551E-4,-1.997369342E-3
1.949574030E-1,1.731053460E-3,9.321057005E-4,-9.321057005E-4
1.969607360E-1,6.657897611E-4,-1.198421582E-3,-9.321057005E-4
1.989644340E-1,6.657897611E-4,9.321057005E-4,-9.321057005E-4
2.009685490E-1,6.657897611E-4,3.062632866E-3,-9.321057005E-4
2.029731320E-1,6.657897611E-4,-1.198421582E-3,1.331579551E-4
2.049781840E-1,-3.994738800E-4,9.321057005E-4,1.198421582E-3
2.069837050E-1,-3.994738800E-4,9.321057005E-4,-9.321057005E-4
2.089896950E-1,1.731053460E-3,-1.331579551E-4,1.331579551E-4
2.109961010E-1,2.663159103E-4,1.331579551E-4,-6.657897611E-4
2.130028720E-1,-7.989477599E-4,1.198421582E-3,-1.731053460E-3
2.150099550E-1,-7.989477599E-4,1.331579551E-4,-6.657897611E-4
2.170172990E-1,-7.989477599E-4,1.198421582E-3,3.994738800E-4
2.190247990E-1,-7.989477599E-4,1.331579551E-4,3.994738800E-4
2.210323510E-1,-7.989477599E-4,1.331579551E-4,3.994738800E-4
2.230453200E-1,-7.989477599E-4,1.331579551E-4,3.994738800E-4
2.250458410E-1,-7.989477599E-4,1.198421582E-3,1.464737463E-3
2.270465180E-1,-7.989477599E-4,-1.997369342E-3,3.994738800E-4
2.290475590E-1,-7.989477599E-4,-1.997369342E-3,3.994738800E-4
2.310491220E-1,1.331579522E-3,1.331579551E-4,-6.657897611E-4
2.330513610E-1,-7.989477599E-4,-9.321057005E-4,3.994738800E-4
2.350543820E-1,1.331579522E-3,-9.321057005E-4,1.464737463E-3
2.370582360E-1,2.396843163E-3,1.331579551E-4,3.994738800E-4
2.390629760E-1,1.331579522E-3,1.331579551E-4,1.464737463E-3
2.410686010E-1,2.663159103E-4,-1.997369342E-3,2.530001104E-3
2.430750590E-1,-7.989477599E-4,-3.062632866E-3,1.464737463E-3
2.450822990E-1,2.663159103E-4,-3.062632866E-3,1.464737463E-3
2.470902160E-1,-7.989477599E-4,1.331579551E-4,2.530001104E-3
2.490986530E-1,2.663159103E-4,1.331579551E-4,1.464737463E-3
2.511075070E-1,1.331579522E-3,-9.321057005E-4,3.994738800E-4
2.531166220E-1,2.663159103E-4,-1.997369342E-3,3.994738800E-4
2.551258410E-1,1.331579522E-3,-1.997369342E-3,3.994738800E-4
2.571344860E-1,2.663159103E-4,-9.321057005E-4,1.464737463E-3
2.591400590E-1,2.663159103E-4,-1.997369342E-3,2.530001104E-3
2.611456320E-1,-7.989477599E-4,-1.997369342E-3,1.464737463E-3
2.631511530E-1,2.663159103E-4,-3.062632866E-3,1.464737463E-3
2.651539660E-1,1.331579522E-3,-1.997369342E-3,3.994738800E-4
2.671569860E-1,-1.864211401E-3,-1.997369342E-3,3.994738800E-4
2.691602680E-1,-7.989477599E-4,-3.062632866E-3,1.464737463E-3
2.711639140E-1,2.663159103E-4,-1.997369342E-3,1.464737463E-3
2.731679760E-1,1.331579522E-3,-4.127896391E-3,1.464737463E-3
2.751725070E-1,1.331579522E-3,-9.321057005E-4,3.994738800E-4
2.771775070E-1,2.663159103E-4,-1.997369342E-3,-6.657897611E-4
2.791829760E-1,2.663159103E-4,-3.062632866E-3,-6.657897611E-4
2.811889140E-1,2.663159103E-4,-4.127896391E-3,3.994738800E-4
2.831953200E-1,-7.989477599E-4,-1.997369342E-3,3.994738800E-4
2.852021430E-1,1.331579522E-3,-1.997369342E-3,1.464737463E-3
2.872092780E-1,1.331579522E-3,-9.321057005E-4,2.530001104E-3
2.892166740E-1,2.663159103E-4,-9.321057005E-4,1.464737463E-3
2.912242260E-1,-7.989477599E-4,1.331579551E-4,2.530001104E-3
2.932318300E-1,2.663159103E-4,-4.127896391E-3,1.464737463E-3
2.952448510E-1,-7.989477599E-4,1.331579551E-4,1.464737463E-3
2.972453720E-1,2.663159103E-4,-9.321057005E-4,3.994738800E-4
2.992458930E-1,2.663159103E-4,-9.321057005E-4,3.994738800E-4
3.012467780E-1,2.663159103E-4,-9.321057005E-4,-6.657897611E-4
3.032482360E-1,-1.864211401E-3,1.331579551E-4,1.464737463E-3
3.052503720E-1,-7.989477599E-4,-9.321057005E-4,1.464737463E-3
3.072541740E-1,1.331579522E-3,1.331579551E-4,1.464737463E-3
3.092579760E-1,2.663159103E-4,1.198421582E-3,1.464737463E-3
3.112626640E-1,2.663159103E-4,1.331579551E-4,3.994738800E-4
3.132682360E-1,2.663159103E-4,-1.997369342E-3,1.464737463E-3
3.152746430E-1,2.663159103E-4,-9.321057005E-4,1.464737463E-3
3.172818300E-1,-7.989477599E-4,1.198421582E-3,3.994738800E-4
3.192896950E-1,2.663159103E-4,1.198421582E-3,1.464737463E-3
3.212981320E-1,-7.989477599E-4,1.198421582E-3,-6.657897611E-4
3.233069860E-1,-7.989477599E-4,1.331579551E-4,1.464737463E-3
3.253161010E-1,-7.989477599E-4,1.331579551E-4,1.464737463E-3
3.273253200E-1,-7.989477599E-4,1.198421582E-3,3.994738800E-4
3.293340700E-1,-1.864211401E-3,1.198421582E-3,3.994738800E-4
3.313396430E-1,-7.989477599E-4,1.198421582E-3,3.994738800E-4
3.333451640E-1,-1.864211401E-3,1.198421582E-3,1.464737463E-3
3.353479760E-1,2.663159103E-4,1.198421582E-3,1.464737463E-3
3.373509970E-1,-7.989477599E-4,2.263685223E-3,1.464737463E-3
3.393542780E-1,-1.864211401E-3,2.263685223E-3,1.464737463E-3
3.413579240E-1,-1.864211401E-3,2.263685223E-3,2.530001104E-3
3.433619860E-1,-2.929474926E-3,1.198421582E-3,2.530001104E-3
3.453667780E-1,-2.929474926E-3,1.198421582E-3,1.464737463E-3
3.473740700E-1,-1.864211401E-3,1.331579551E-4,3.994738800E-4
3.493816740E-1,-1.864211401E-3,3.328948980E-3,2.530001104E-3
3.513894860E-1,-2.929474926E-3,6.524739787E-3,1.464737463E-3
3.533974030E-1,-1.864211401E-3,4.394212738E-3,2.530001104E-3
3.554107360E-1,-1.864211401E-3,2.263685223E-3,1.464737463E-3
3.574116740E-1,-1.864211401E-3,4.394212738E-3,2.530001104E-3
3.594127680E-1,-3.994738683E-3,3.328948980E-3,2.530001104E-3
3.614141740E-1,-3.994738683E-3,4.394212738E-3,1.464737463E-3
3.634160490E-1,-2.929474926E-3,5.459476262E-3,2.530001104E-3
3.654185490E-1,-3.994738683E-3,4.394212738E-3,3.994738800E-4
3.674217780E-1,-3.994738683E-3,3.328948980E-3,1.464737463E-3
3.694257890E-1,-1.864211401E-3,4.394212738E-3,1.464737463E-3
3.714305800E-1,-1.864211401E-3,5.459476262E-3,1.464737463E-3
3.734365180E-1,-2.929474926E-3,6.524739787E-3,2.530001104E-3
3.754424550E-1,-1.864211401E-3,3.328948980E-3,2.530001104E-3
