"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.088291000E-1,2.319803170E1,7.990895030E1,NaN,NaN,NaN,1.500000000E3,0.000000000E0
2.011882910E1,2.319803170E1,7.990895030E1,NaN,NaN,NaN,1.500000000E3,0.000000000E0
4.013882910E1,2.319755090E1,7.990720100E1,NaN,NaN,NaN,1.899999023E3,0.000000000E0
6.015282910E1,2.319803170E1,7.990895030E1,NaN,NaN,NaN,1.500000000E3,0.000000000E0
6.491380706E1,2.320152692E1,7.991260615E1,4.138297299E2,2.119999886E0,4.070000076E1,4.861940765E1,5.789611053E1
6.590692315E1,2.320152718E1,7.991261160E1,4.180946204E2,1.580000043E0,2.652000122E2,4.730356598E1,5.620449829E1
6.690627560E1,2.320155099E1,7.991260221E1,4.073410864E2,3.300000131E-1,2.652000122E2,4.455447769E1,4.161816025E1
6.791185747E1,2.320155106E1,7.991261637E1,4.075517744E2,8.399999738E-1,3.346000061E2,4.383061600E1,3.976612091E1
6.890932148E1,2.320162711E1,7.991258043E1,4.010128554E2,1.080000043E0,9.359999847E1,2.944410706E1,3.223038101E1
6.991082086E1,2.320165083E1,7.991250156E1,3.970697723E2,6.100000143E-1,9.359999847E1,2.061072350E1,2.322672844E1
7.090707341E1,2.320160827E1,7.991258017E1,4.094248408E2,1.830000043E0,2.566000061E2,1.492352867E1,1.598977661E1
7.192915377E1,2.320160331E1,7.991257343E1,4.069584122E2,0.000000000E0,NaN,6.419700623E0,6.629016399E0
7.296962080E1,2.320159718E1,7.991255948E1,4.060328797E2,0.000000000E0,NaN,5.745634079E0,5.896642685E0
7.396888138E1,2.320161603E1,7.991261819E1,4.119647443E2,0.000000000E0,NaN,5.206142426E0,5.415038586E0
7.496960851E1,2.320161111E1,7.991260135E1,4.100912150E2,0.000000000E0,NaN,5.206697941E0,5.239782333E0
7.596886596E1,2.320161213E1,7.991259911E1,4.105611866E2,0.000000000E0,NaN,5.530269623E0,5.274904251E0
7.696957934E1,2.320160223E1,7.991257103E1,4.071346825E2,0.000000000E0,NaN,5.416418552E0,4.836718559E0
7.796867643E1,2.320160362E1,7.991257452E1,4.075846325E2,0.000000000E0,NaN,5.720757961E0,4.591537952E0
7.896875044E1,2.320160197E1,7.991256828E1,4.072687167E2,0.000000000E0,NaN,6.206511497E0,4.439146996E0
7.996867908E1,2.320160197E1,7.991256828E1,4.072687167E2,0.000000000E0,NaN,7.089234829E0,4.443861961E0
8.096872528E1,2.320159971E1,7.991255824E1,4.060784126E2,0.000000000E0,NaN,7.930669308E0,4.397330761E0
8.196937361E1,2.320159584E1,7.991254722E1,4.047274642E2,0.000000000E0,NaN,8.348304749E0,4.282896519E0
8.296886507E1,2.320159465E1,7.991254338E1,4.040328855E2,0.000000000E0,NaN,1.009305286E1,4.658244133E0
8.396926523E1,2.320159279E1,7.991253452E1,4.029606230E2,0.000000000E0,NaN,1.219474411E1,5.032087326E0
8.496894830E1,2.320159637E1,7.991254256E1,4.037535281E2,0.000000000E0,NaN,1.349009895E1,5.434355736E0
8.596960143E1,2.320159559E1,7.991253855E1,4.032604265E2,0.000000000E0,NaN,1.615442657E1,5.843938828E0
8.696933674E1,2.320159481E1,7.991253243E1,4.023951333E2,0.000000000E0,NaN,1.729146957E1,6.093121052E0
8.796895392E1,2.320159397E1,7.991252128E1,4.022410236E2,0.000000000E0,NaN,1.739715576E1,6.252360344E0
8.896902502E1,2.320159269E1,7.991252450E1,4.025037176E2,0.000000000E0,NaN,1.699227142E1,6.410072327E0
8.996868163E1,2.320159114E1,7.991252327E1,4.021422677E2,0.000000000E0,NaN,1.405700779E1,6.613906384E0
9.096895361E1,2.320159114E1,7.991252327E1,4.021422677E2,0.000000000E0,NaN,1.503263855E1,6.861998558E0
